outliers,auc,trials,sigma
475,0.14920847776779486,9,1e-05
500,0.14920622447800164,0,1e-05
500,0.14919635606341147,1,1e-05
500,0.14920337048112706,2,1e-05
500,0.1492107653804883,3,1e-05
500,0.14920459114691537,4,1e-05
500,0.1492055977681075,5,1e-05
500,0.14920082397616907,6,1e-05
500,0.14921676453395757,7,1e-05
500,0.14920069205412348,8,1e-05
500,0.14920287459819076,9,1e-05
0,0.8579200629857571,0,0.0001
0,0.8579210903626882,1,0.0001
0,0.8579265115134097,2,0.0001
0,0.8579123420527663,3,0.0001
0,0.8579163462726862,4,0.0001
0,0.8579917503675563,5,0.0001
0,0.8579436946851552,6,0.0001
0,0.8579143233840218,7,0.0001
0,0.8579088588768536,8,0.0001
0,0.8579404291889808,9,0.0001
25,0.8579123697569541,0,0.0001
25,0.8579332820264937,1,0.0001
25,0.8579549432069152,2,0.0001
25,0.8578809748077669,3,0.0001
25,0.8579158003101579,4,0.0001
25,0.8579431310700386,5,0.0001
25,0.8578788589486571,6,0.0001
25,0.8578891140123567,7,0.0001
25,0.8579253531100042,8,0.0001
25,0.8579083729659028,9,0.0001
50,0.8578535728591289,0,0.0001
50,0.8579222995091855,1,0.0001
50,0.8579534162861185,2,0.0001
50,0.8579429615258085,3,0.0001
50,0.857928028221124,4,0.0001
50,0.8579379092544439,5,0.0001
50,0.8579076433931905,6,0.0001
50,0.8579213834544037,7,0.0001
50,0.8579153850740228,8,0.0001
50,0.8579510538371156,9,0.0001
75,0.8579639507447987,0,0.0001
75,0.8578925538178017,1,0.0001
75,0.8579347334937346,2,0.0001
75,0.8579810721635907,3,0.0001
75,0.8578866495496907,4,0.0001
75,0.8579308414754191,5,0.0001
75,0.8579490742228679,6,0.0001
75,0.8579489719316866,7,0.0001
75,0.8579618258392492,8,0.0001
75,0.8579292585322253,9,0.0001
100,0.8577833009045022,0,0.0001
100,0.8579320009895454,1,0.0001
100,0.8579007182148868,2,0.0001
100,0.8579806641514885,3,0.0001
100,0.8563862668361467,4,0.0001
100,0.8579554180316137,5,0.0001
100,0.8579604877099564,6,0.0001
100,0.8578716743934791,7,0.0001
100,0.8579204059691513,8,0.0001
100,0.8579137004623738,9,0.0001
125,0.18125990926331567,0,0.0001
125,0.20924128953509075,1,0.0001
125,0.1580001038242686,2,0.0001
125,0.8570501866998378,3,0.0001
125,0.8504198627180779,4,0.0001
125,0.18820383808231284,5,0.0001
125,0.5760199451886853,6,0.0001
125,0.16571718659538628,7,0.0001
125,0.8303560155786154,8,0.0001
125,0.8578202337486543,9,0.0001
150,0.1961203991050529,0,0.0001
150,0.3443582994461743,1,0.0001
150,0.2120910054183397,2,0.0001
150,0.855661835676757,3,0.0001
150,0.17207430328047094,4,0.0001
150,0.4782527624597197,5,0.0001
150,0.21208938704249267,6,0.0001
150,0.1847563825750724,7,0.0001
150,0.8493689381069427,8,0.0001
150,0.8184741877234845,9,0.0001
175,0.15101867932682708,0,0.0001
175,0.15129399228064974,1,0.0001
175,0.17205435648615766,2,0.0001
175,0.18960439907142662,3,0.0001
175,0.15913905699738756,4,0.0001
175,0.15526248306598814,5,0.0001
175,0.6512150123260446,6,0.0001
175,0.21352654156795892,7,0.0001
175,0.1551543100064788,8,0.0001
175,0.20695463432614994,9,0.0001
200,0.15147219404495116,0,0.0001
200,0.16213293696360984,1,0.0001
200,0.15188528892091993,2,0.0001
200,0.155335023931242,3,0.0001
200,0.15335953605456354,4,0.0001
200,0.15820156358313384,5,0.0001
200,0.164587677910126,6,0.0001
200,0.1675789496629177,7,0.0001
200,0.15728006364381933,8,0.0001
200,0.1701693830567501,9,0.0001
225,0.15226632480877475,0,0.0001
225,0.1507434060657826,1,0.0001
225,0.15044714822734076,2,0.0001
225,0.151598085518962,3,0.0001
225,0.15187371777730532,4,0.0001
225,0.15184040758181855,5,0.0001
225,0.15219626342218298,6,0.0001
225,0.15206552543032503,7,0.0001
225,0.1578945045423155,8,0.0001
225,0.15642620550140174,9,0.0001
250,0.151563516809716,0,0.0001
250,0.15320419281521386,1,0.0001
250,0.15266013515771654,2,0.0001
250,0.15052862184042176,3,0.0001
250,0.15154506391209374,4,0.0001
250,0.15085115949317382,5,0.0001
250,0.1513384735051734,6,0.0001
250,0.15176470611673593,7,0.0001
250,0.15050400557613852,8,0.0001
250,0.15050180627634355,9,0.0001
275,0.1520818981624103,0,0.0001
275,0.15071437085648565,1,0.0001
275,0.15170806603268866,2,0.0001
275,0.15027911427717883,3,0.0001
275,0.1511712463353539,4,0.0001
275,0.15067041131609865,5,0.0001
275,0.1509623829111074,6,0.0001
275,0.15119394757702861,7,0.0001
275,0.15092418525825504,8,0.0001
275,0.15094206988498657,9,0.0001
300,0.14999630330895952,0,0.0001
300,0.15063872873242334,1,0.0001
300,0.1499485867965656,2,0.0001
300,0.15048321371160941,3,0.0001
300,0.15064828512325482,4,0.0001
300,0.15052448004896457,5,0.0001
300,0.1499376736892826,6,0.0001
300,0.15175362093403139,7,0.0001
300,0.15045020386233054,8,0.0001
300,0.15044415639962042,9,0.0001
325,0.14986514145676846,0,0.0001
325,0.14983479252598314,1,0.0001
325,0.1499967836456799,2,0.0001
325,0.15009289612216983,3,0.0001
325,0.1500487267267228,4,0.0001
325,0.1501074095384908,5,0.0001
325,0.15035162778441896,6,0.0001
325,0.15032137703859833,7,0.0001
325,0.14978053416996143,8,0.0001
325,0.1502512169123263,9,0.0001
350,0.15009915510795446,0,0.0001
350,0.1501106575395313,1,0.0001
350,0.15001391608948236,2,0.0001
350,0.14991880942966984,3,0.0001
